Time,Temperature,Dew Point,Humidity (%),Wind Speed (mph),Pressure (Hg),Precipitation (in)
1/05/2020,89.1,66.1,55.4,5.1,0,0
2/05/2020,88.1,74.8,65.8,6.9,0,0
3/05/2020,80.8,74.5,81.8,5.4,0,0.47
4/05/2020,83.3,72,70.8,2.9,0,0.02
5/05/2020,87.4,72.5,63.9,3.8,0,0
6/05/2020,84.6,66,55.9,3.3,0,0
7/05/2020,85,59.9,45.8,3.5,0,0
8/05/2020,90,65.6,48.4,3.5,0,0
9/05/2020,92.5,69.9,50.9,4,0,0
10/05/2020,81.9,67,60.8,6.5,0,0
11/05/2020,84.6,68.4,59,3.9,0,0.04
12/05/2020,88.1,68.9,54.5,4.4,0,0
13/05/2020,86.3,69.3,57.9,4.1,0,0
14/05/2020,87.4,68.9,58,4.4,0,0
15/05/2020,89.1,62.6,43.3,4.6,0,0.02
16/05/2020,89.3,60.8,42.4,4.8,0,0
17/05/2020,89.8,61.8,42.1,2.8,0,0
18/05/2020,89.9,57.1,37.9,3.6,0,0
19/05/2020,89.9,57.5,37.6,1.9,0,0
20/05/2020,90.9,53.9,30.4,4.4,0,0
21/05/2020,91.6,57.3,34.8,4.5,0,0
22/05/2020,94.1,60.4,37.6,3.1,0,0
23/05/2020,98.3,60.1,31.8,5.4,0,0
24/05/2020,97.6,60.9,32.6,4.5,0,0
25/05/2020,97,63.6,36.1,5.9,0,0
26/05/2020,99.5,62.4,31.9,6.4,0,0
27/05/2020,99.6,58.1,27,6,0,0
28/05/2020,91,69.6,53,9.1,0,0
29/05/2020,83.9,72.1,70.8,6.4,0,0
30/05/2020,84.8,71.8,66.6,5,0,0.16
1/06/2020,85.1,71.9,67,1.6,0,0.12
2/06/2020,87.9,70.1,58.6,5.4,0,0
3/06/2020,86.6,73,66.9,3,0,0
4/06/2020,85.4,72.6,66.1,4.4,0,0.02
5/06/2020,84.9,72.1,66.7,4.3,0,0
6/06/2020,92,74.6,57.6,3.4,0,0
7/06/2020,80,73,78,2.5,0,0
8/06/2020,89.3,74.9,65,3.3,0,0.24
9/06/2020,93.6,75.5,58.5,3.3,0,0
10/06/2020,93.1,76.9,61.1,4.5,0,0
11/06/2020,94.6,79.1,62.3,2.5,0,0
12/06/2020,95.9,79.6,60.4,3.1,0,0
13/06/2020,90.5,78.6,68.3,3.8,0,0
14/06/2020,95.1,77.3,58.3,5.3,0,0
15/06/2020,96.3,77,55.3,5.3,0,0
16/06/2020,96.4,78.1,56.5,5.6,0,0
17/06/2020,95.8,80.3,62.4,6.8,0,0
18/06/2020,97.4,80.5,60.8,5.6,0,0
19/06/2020,96.5,78.1,57.3,6.4,0,0
20/06/2020,87.6,76.3,70,6.8,0,0.2
21/06/2020,89.6,80.1,75.3,4.4,0,0.08
22/06/2020,89,78.8,73.4,5,0,1.73
23/06/2020,91,81.3,73.5,6.3,0,0
24/06/2020,87.1,81.8,83.8,6.3,0,0
25/06/2020,89.1,81.5,79.1,2.3,0,0.59
26/06/2020,89.6,80.9,75.6,5.3,0,0.08
27/06/2020,93,80.4,68.1,7.6,0,0
28/06/2020,96.8,81.5,63,5.5,0,0
29/06/2020,92.6,76.6,62.1,7.1,0,0
1/07/2020,93,82,70.8,3.1,0,0
2/07/2020,95.6,82.8,67.1,4.8,0,0
3/07/2020,95.1,82.5,67.4,4.5,0,0
4/07/2020,92.9,79.5,66.3,7.8,0,0
5/07/2020,83.4,77.8,84.4,4.4,0,1.38
6/07/2020,87.1,80.4,81.3,4.9,0,0
7/07/2020,86,79.4,81.1,7.3,0,0.02
8/07/2020,87.4,81,81.1,5.1,0,0
9/07/2020,90.6,79.1,69.6,5.1,0,0
10/07/2020,91.1,80.3,72.6,5.6,0,0
11/07/2020,88.8,79.9,76.3,4.3,0,0.31
12/07/2020,86,77.1,75.4,4.4,0,0
13/07/2020,90.4,76.6,65.1,5,0,0
14/07/2020,93.1,81.1,68.8,4.5,0,0
15/07/2020,90.8,81.1,73.9,5.3,0,0
16/07/2020,88,81,63.8,3.6,0,0
17/07/2020,89.6,82.6,80.4,4.6,0,0
18/07/2020,90.1,82.6,78.6,4,0,0.16
19/07/2020,85.1,80.6,86.9,4.4,0,2.76
20/07/2020,83.8,77.3,81.3,3.1,0,0.08
21/07/2020,79.3,77.6,94.9,4.1,0,0.08
22/07/2020,79.1,77.8,95.1,4,0,1.18
23/07/2020,86.1,78.5,78.8,4.4,0,2.68
24/07/2020,85.6,79.5,82.3,5.3,0,0
25/07/2020,87.4,82.3,84.9,2.9,0,0.04
26/07/2020,89.8,82,78.6,2.5,0,0
27/07/2020,91.9,82.1,74.5,6.3,0,0.02
28/07/2020,93.1,82.5,72.3,5.3,0,0
29/07/2020,85.4,79.5,83.1,3.1,0,0
30/07/2020,84.9,77.6,79.1,5.4,0,0.35
